Mod:Item:MetaData, Localized Name
gendustry:honey_drop:24, Orange Colored Honey Drop
gendustry:honey_drop:25, White Colored Honey Drop
gendustry:honey_drop:14, Blue Colored Honey Drop
gendustry:honey_drop:20, Lime Colored Honey Drop
gendustry:honey_drop:21, Yellow Colored Honey Drop
gendustry:honey_drop:13, Brown Colored Honey Drop
gendustry:honey_drop:17, Light Gray Colored Honey Drop
gendustry:honey_drop:22, Light Blue Colored Honey Drop
gendustry:honey_drop:12, Green Colored Honey Drop
gendustry:honey_drop:18, Gray Colored Honey Drop
gendustry:honey_drop:16, Cyan Colored Honey Drop
gendustry:honey_drop:11, Red Colored Honey Drop
gendustry:honey_drop:23, Magenta Colored Honey Drop
gendustry:honey_drop:19, Pink Colored Honey Drop
gendustry:honey_drop:15, Purple Colored Honey Drop
gendustry:mutagen_tank, Mutagen Tank
gendustry:bee_receptacle, Bee Receptacle
gendustry:power_module, Power Module
gendustry:genetics_processor, Genetics Processor
gendustry:env_processor, Environmental Processor
gendustry:upgrade_frame, Upgrade Frame
gendustry:climate_module, Climate Control Module
gendustry:pollen_kit, Pollen Collection Kit
gendustry:hive_spawn_debugger, Hive Spawning Debugger
gendustry:eject_cover, Item Eject Cover
gendustry:import_cover, Item Import Cover
gendustry:error_sensor_cover, Error Sensor Cover
gendustry:mutagen_producer, Mutagen Producer
gendustry:mutatron, Mutatron
gendustry:industrial_apiary, Industrial Apiary
gendustry:imprinter, Genetic Imprinter
gendustry:sampler, Genetic Sampler
gendustry:mutatron_advanced, Advanced mutatron
gendustry:liquifier, Protein Liquifier
gendustry:extractor, DNA Extractor
gendustry:transposer, Genetic Transposer
gendustry:replicator, Genetic Replicator
advgenerators:iron_frame, Iron Frame
advgenerators:power_io, Power IO Module
advgenerators:iron_tubing, Iron Tubing
advgenerators:iron_wiring, Redstone-Iron Wiring
advgenerators:controller, Control Circuit
advgenerators:pressure_valve, Pressure Valve
advgenerators:advanced_pressure_valve, Advanced Pressure Valve
advgenerators:upgrade_kit, Upgrade Kit
advgenerators:turbine_controller, Gas Turbine controller
advgenerators:exchanger_controller, Heat Exchanger Controller
advgenerators:steam_turbine_controller, Steam Turbine Controller
advgenerators:syngas_controller, Syngas Producer Controller
advgenerators:rf_output, Flux Generator
advgenerators:eu_output_lv, Low Voltage Emitter
advgenerators:eu_output_mv, Medium Voltage Emitter
advgenerators:eu_output_hv, High Voltage Emitter
advgenerators:eu_output_ev, Extreme Voltage Emitter
advgenerators:eu_output_iv, Insane Voltage Emitter
advgenerators:forge_output, Forge Energy Emitter
advgenerators:gas_input, Gas Intake Valve
advgenerators:fluid_input, Fluid Intake Valve
advgenerators:fluid_output_select, Fluid Output Valve
advgenerators:item_input, Item Input Port
advgenerators:item_output, Item Output Port
advgenerators:fuel_tank, Fuel Tank
advgenerators:heating_chamber, Heating Chamber
advgenerators:mixing_chamber, Mixing Chamber
advgenerators:heat_exchanger, Heat Exchanger
advgenerators:sensor, Sensor Module
advgenerators:control, Redstone Control Module
advgenerators:efficiency_upgrade_tier1, Fuel/Air Mixer
advgenerators:efficiency_upgrade_tier2, Gas Mix Compressor
advgenerators:generators_data_port, Machine Data Port
advgenerators:steam, Steam
advgenerators:syngas_flaming, tile.advgenerators.syngas_flaming.name
advgenerators:syngas, Syngas
advgenerators:turbine_blade_enderium, Enderium Turbine Blade
advgenerators:turbine_rotor_enderium, Enderium Turbine Rotor
advgenerators:turbine_kit_enderium, Enderium Turbine Upgrade Kit
advgenerators:turbine_enderium, Enderium Turbine
advgenerators:turbine_blade_steel, Steel Turbine Blade
advgenerators:turbine_rotor_steel, Steel Turbine Rotor
advgenerators:turbine_kit_steel, Steel Turbine Upgrade Kit
advgenerators:turbine_steel, Steel Turbine
advgenerators:turbine_rotor_gold, Gold Plated Turbine Rotor
advgenerators:turbine_kit_gold, Gold Plated Turbine Upgrade Kit
advgenerators:turbine_gold, Gold Plated Turbine
advgenerators:turbine_blade_bronze, Bronze Turbine Blade
advgenerators:turbine_rotor_bronze, Bronze Turbine Rotor
advgenerators:turbine_kit_bronze, Bronze Turbine Upgrade Kit
advgenerators:turbine_bronze, Bronze Turbine
advgenerators:turbine_blade_iron, Iron Turbine Blade
advgenerators:turbine_rotor_iron, Iron Turbine Rotor
advgenerators:turbine_iron, Iron Turbine
advgenerators:turbine_blade_adv_alloy, Advanced Alloy Turbine Blade
advgenerators:turbine_rotor_adv_alloy, Advanced Alloy Turbine Rotor
advgenerators:turbine_kit_adv_alloy, Advanced Alloy Turbine Upgrade Kit
advgenerators:turbine_adv_alloy, Advanced Alloy Turbine
advgenerators:power_capacitor_redstone, Basic Power Capacitor
advgenerators:capacitor_kit_advanced, Advanced Capacitor Upgrade Kit
advgenerators:power_capacitor_advanced, Advanced Power Capacitor
advgenerators:capacitor_kit_dense, High Density Capacitor Upgrade Kit
advgenerators:power_capacitor_dense, High Density Power Capacitor
railcraft:creosote, Creosote
railcraft:steam, Steam
railcraft:tool_crowbar_iron, Iron Crowbar
railcraft:tool_crowbar_steel, Steel Crowbar
railcraft:tool_axe_steel, Steel Axe
railcraft:tool_hoe_steel, Steel Hoe
railcraft:tool_pickaxe_steel, Steel Pickaxe
railcraft:tool_shears_steel, Steel Shears
railcraft:tool_shovel_steel, Steel Shovel
railcraft:tool_sword_steel, Steel Sword
railcraft:tool_magnifying_glass, Magnifying Glass
railcraft:armor_goggles, Trackman's Goggles
railcraft:tool_notepad, Trackman's Notepad
railcraft:rail:0, Standard Rail
railcraft:rail:1, Advanced Rail
railcraft:rail:2, Wooden Rail
railcraft:rail:3, H.S. Rail
railcraft:rail:4, Reinforced Rail
railcraft:rail:5, Electric Rail
railcraft:tie:0, Wooden Tie
railcraft:tie:1, Stone Tie
railcraft:rebar, Rebar
railcraft:cart_spawner:0, Spawner Cart
railcraft:detector:0, Cart Detector - Item
railcraft:detector:1, Cart Detector - Any
railcraft:detector:2, Cart Detector - Empty
railcraft:detector:3, Cart Detector - Mob
railcraft:detector:4, Cart Detector - Player
railcraft:detector:5, Cart Detector - Animal
railcraft:detector:6, Cart Detector - Tank
railcraft:detector:7, Cart Detector - Advanced
railcraft:detector:8, Cart Detector - Age
railcraft:detector:9, Cart Detector - Train
railcraft:detector:10, Cart Detector - Sheep
railcraft:detector:11, Cart Detector - Villager
railcraft:detector:12, Cart Detector - Locomotive
railcraft:detector:13, Cart Detector - Routing
railcraft:manipulator:0, Item Loader
railcraft:manipulator:1, Item Unloader
railcraft:manipulator:2, Adv. Item Loader
railcraft:manipulator:3, Adv. Item Unloader
railcraft:manipulator:4, Fluid Loader
railcraft:manipulator:5, Fluid Unloader
railcraft:manipulator:6, Ic2 EU Loader
railcraft:manipulator:7, Ic2 EU Unloader
railcraft:manipulator:10, Redstone Flux Loader
railcraft:manipulator:11, Redstone Flux Unloader
railcraft:manipulator:8, Cart Dispenser
railcraft:manipulator:9, Train Dispenser
railcraft:equipment:0, Manual Rolling Machine
railcraft:equipment:1, Powered Rolling Machine
railcraft:equipment:2, Feed Station
railcraft:trade_station:0, Trade Station
railcraft:force_track_emitter, Force Track Emitter
railcraft:track_force, Force Track
railcraft:filter_blank, Blank Filter
railcraft:filter_type, Item Type Filter
railcraft:filter_ore_dict, Ore Dictionary Filter
railcraft:bore:0, Tunnel Bore
railcraft:borehead_bronze, Bronze Bore Head
railcraft:borehead_iron, Iron Bore Head
railcraft:borehead_steel, Steel Bore Head
railcraft:borehead_diamond, Diamond Bore Head
railcraft:mow_track_layer:0, Track Layer Cart
railcraft:mow_track_relayer:0, Track Relayer Cart
railcraft:mow_track_remover:0, Track Remover Cart
railcraft:mow_undercutter:0, Undercutter Cart
railcraft:cart_trade_station:0, Trade Station Cart
railcraft:cart_work:0, Work Cart
railcraft:cart_jukebox:0, Jukebox Cart
railcraft:cart_bed:0, Bed Cart
railcraft:battery_nickel_iron, Nickel-Iron Battery
railcraft:battery_nickel_zinc, Nickel-Zinc Battery
railcraft:battery_zinc_carbon, Zinc-Carbon Battery
railcraft:battery_zinc_silver, Zinc-Silver Battery
railcraft:charge_feeder:0, IC2 Charge Feeder Unit
railcraft:charge_feeder:1, Admin Charge Feeder Unit
railcraft:charge_trap, Charge Trap
railcraft:frame, Wire Support Frame
railcraft:steam_turbine:0, Steam Turbine Housing
railcraft:wire, Charge Shunting Wire
railcraft:charge:0, Charge Coil
railcraft:charge:1, Charge Terminal
railcraft:charge:2, Small Charge Wire Spool
railcraft:charge:3, Medium Charge Wire Spool
railcraft:charge:4, Large Charge Wire Spool
railcraft:charge:5, Charge Motor
railcraft:charge:6, Nickel Electrode
railcraft:charge:7, Iron Electrode
railcraft:charge:8, Zinc Electrode
railcraft:charge:9, item.railcraft.charge.electrode.carbon.name
railcraft:charge:10, item.railcraft.charge.electrode.silver.name
railcraft:tool_charge_meter, Charge Meter
railcraft:turbine_blade, Turbine Blade
railcraft:turbine_disk, Turbine Disk
railcraft:turbine_rotor, Turbine Rotor
railcraft:worldspike:0, Admin Worldspike
railcraft:worldspike:1, Passive Worldspike
railcraft:worldspike:2, Personal Worldspike
railcraft:worldspike:3, Standard Worldspike
railcraft:worldspike_point, Worldspike Point
railcraft:cart_worldspike_standard:0, Standard Worldspike Cart
railcraft:cart_worldspike_admin:0, Admin Worldspike Cart
railcraft:cart_worldspike_personal:0, Personal Worldspike Cart
railcraft:anvil:0, Steel Anvil
railcraft:anvil:1, Slightly Damaged Steel Anvil
railcraft:anvil:2, Very Damaged Steel Anvil
railcraft:fuel_coke, Coal Coke
railcraft:coke_oven:0, Coke Oven Brick
railcraft:coke_oven_red:0, tile.railcraft.coke.oven.red.name
railcraft:blast_furnace:0, Blast Furnace Brick
railcraft:rock_crusher:0, Rock Crusher
railcraft:steam_oven:0, Steam Oven
railcraft:tank_iron_gauge:0, Iron Tank Gauge
railcraft:tank_iron_gauge:1, Iron Tank Gauge
railcraft:tank_iron_gauge:2, Iron Tank Gauge
railcraft:tank_iron_gauge:3, Iron Tank Gauge
railcraft:tank_iron_gauge:4, Iron Tank Gauge
railcraft:tank_iron_gauge:5, Iron Tank Gauge
railcraft:tank_iron_gauge:6, Iron Tank Gauge
railcraft:tank_iron_gauge:7, Iron Tank Gauge
railcraft:tank_iron_gauge:8, Iron Tank Gauge
railcraft:tank_iron_gauge:9, Iron Tank Gauge
railcraft:tank_iron_gauge:10, Iron Tank Gauge
railcraft:tank_iron_gauge:11, Iron Tank Gauge
railcraft:tank_iron_gauge:12, Iron Tank Gauge
railcraft:tank_iron_gauge:13, Iron Tank Gauge
railcraft:tank_iron_gauge:14, Iron Tank Gauge
railcraft:tank_iron_gauge:15, Iron Tank Gauge
railcraft:tank_iron_valve:0, Iron Tank Valve
railcraft:tank_iron_valve:1, Iron Tank Valve
railcraft:tank_iron_valve:2, Iron Tank Valve
railcraft:tank_iron_valve:3, Iron Tank Valve
railcraft:tank_iron_valve:4, Iron Tank Valve
railcraft:tank_iron_valve:5, Iron Tank Valve
railcraft:tank_iron_valve:6, Iron Tank Valve
railcraft:tank_iron_valve:7, Iron Tank Valve
railcraft:tank_iron_valve:8, Iron Tank Valve
railcraft:tank_iron_valve:9, Iron Tank Valve
railcraft:tank_iron_valve:10, Iron Tank Valve
railcraft:tank_iron_valve:11, Iron Tank Valve
railcraft:tank_iron_valve:12, Iron Tank Valve
railcraft:tank_iron_valve:13, Iron Tank Valve
railcraft:tank_iron_valve:14, Iron Tank Valve
railcraft:tank_iron_valve:15, Iron Tank Valve
railcraft:tank_iron_wall:0, Iron Tank Wall
railcraft:tank_iron_wall:1, Iron Tank Wall
railcraft:tank_iron_wall:2, Iron Tank Wall
railcraft:tank_iron_wall:3, Iron Tank Wall
railcraft:tank_iron_wall:4, Iron Tank Wall
railcraft:tank_iron_wall:5, Iron Tank Wall
railcraft:tank_iron_wall:6, Iron Tank Wall
railcraft:tank_iron_wall:7, Iron Tank Wall
railcraft:tank_iron_wall:8, Iron Tank Wall
railcraft:tank_iron_wall:9, Iron Tank Wall
railcraft:tank_iron_wall:10, Iron Tank Wall
railcraft:tank_iron_wall:11, Iron Tank Wall
railcraft:tank_iron_wall:12, Iron Tank Wall
railcraft:tank_iron_wall:13, Iron Tank Wall
railcraft:tank_iron_wall:14, Iron Tank Wall
railcraft:tank_iron_wall:15, Iron Tank Wall
railcraft:tank_steel_gauge:0, Steel Tank Gauge
railcraft:tank_steel_gauge:1, Steel Tank Gauge
railcraft:tank_steel_gauge:2, Steel Tank Gauge
railcraft:tank_steel_gauge:3, Steel Tank Gauge
railcraft:tank_steel_gauge:4, Steel Tank Gauge
railcraft:tank_steel_gauge:5, Steel Tank Gauge
railcraft:tank_steel_gauge:6, Steel Tank Gauge
railcraft:tank_steel_gauge:7, Steel Tank Gauge
railcraft:tank_steel_gauge:8, Steel Tank Gauge
railcraft:tank_steel_gauge:9, Steel Tank Gauge
railcraft:tank_steel_gauge:10, Steel Tank Gauge
railcraft:tank_steel_gauge:11, Steel Tank Gauge
railcraft:tank_steel_gauge:12, Steel Tank Gauge
railcraft:tank_steel_gauge:13, Steel Tank Gauge
railcraft:tank_steel_gauge:14, Steel Tank Gauge
railcraft:tank_steel_gauge:15, Steel Tank Gauge
railcraft:tank_steel_valve:0, Steel Tank Valve
railcraft:tank_steel_valve:1, Steel Tank Valve
railcraft:tank_steel_valve:2, Steel Tank Valve
railcraft:tank_steel_valve:3, Steel Tank Valve
railcraft:tank_steel_valve:4, Steel Tank Valve
railcraft:tank_steel_valve:5, Steel Tank Valve
railcraft:tank_steel_valve:6, Steel Tank Valve
railcraft:tank_steel_valve:7, Steel Tank Valve
railcraft:tank_steel_valve:8, Steel Tank Valve
railcraft:tank_steel_valve:9, Steel Tank Valve
railcraft:tank_steel_valve:10, Steel Tank Valve
railcraft:tank_steel_valve:11, Steel Tank Valve
railcraft:tank_steel_valve:12, Steel Tank Valve
railcraft:tank_steel_valve:13, Steel Tank Valve
railcraft:tank_steel_valve:14, Steel Tank Valve
railcraft:tank_steel_valve:15, Steel Tank Valve
railcraft:tank_steel_wall:0, Steel Tank Wall
railcraft:tank_steel_wall:1, Steel Tank Wall
railcraft:tank_steel_wall:2, Steel Tank Wall
railcraft:tank_steel_wall:3, Steel Tank Wall
railcraft:tank_steel_wall:4, Steel Tank Wall
railcraft:tank_steel_wall:5, Steel Tank Wall
railcraft:tank_steel_wall:6, Steel Tank Wall
railcraft:tank_steel_wall:7, Steel Tank Wall
railcraft:tank_steel_wall:8, Steel Tank Wall
railcraft:tank_steel_wall:9, Steel Tank Wall
railcraft:tank_steel_wall:10, Steel Tank Wall
railcraft:tank_steel_wall:11, Steel Tank Wall
railcraft:tank_steel_wall:12, Steel Tank Wall
railcraft:tank_steel_wall:13, Steel Tank Wall
railcraft:tank_steel_wall:14, Steel Tank Wall
railcraft:tank_steel_wall:15, Steel Tank Wall
railcraft:tank_water:0, Water Tank Siding
railcraft:chest_metals:0, Metals Chest
railcraft:cart_chest_metals:0, Metals Chest Cart
railcraft:filter_bee, Bee Filter
railcraft:filter_bee_genome, Bee Genome Filter
railcraft:cart_ic2_batbox:0, Batbox Cart
railcraft:cart_ic2_mfe:0, MFE Cart
railcraft:cart_ic2_cesu:0, CESU Cart
railcraft:cart_redstone_flux:0, Redstone Flux Cart
railcraft:flux_transformer:0, Flux Transformer
railcraft:metal:0, Block of Copper
railcraft:metal:1, Block of Tin
railcraft:metal:2, Block of Lead
railcraft:metal:4, Block of Silver
railcraft:metal:3, Block of Steel
railcraft:metal:5, Block of Bronze
railcraft:metal:6, Block of Nickel
railcraft:metal:7, Block of Invar
railcraft:metal:8, Block of Zinc
railcraft:metal:9, Block of Brass
railcraft:fluid_bottle_creosote, Creosote Bottle
railcraft:fluid_bottle_steam, Steam Bottle
railcraft:nugget:0, Steel Nugget
railcraft:nugget:1, Copper Nugget
railcraft:nugget:2, Tin Nugget
railcraft:nugget:3, Lead Nugget
railcraft:nugget:4, Silver Nugget
railcraft:nugget:5, Bronze Nugget
railcraft:nugget:6, Nickel Nugget
railcraft:nugget:7, Invar Nugget
railcraft:nugget:8, Zinc Nugget
railcraft:nugget:9, Brass Nugget
railcraft:ingot:0, Steel Ingot
railcraft:ingot:1, Copper Ingot
railcraft:ingot:2, Tin Ingot
railcraft:ingot:3, Lead Ingot
railcraft:ingot:4, Silver Ingot
railcraft:ingot:5, Bronze Ingot
railcraft:ingot:6, Nickel Ingot
railcraft:ingot:7, Invar Ingot
railcraft:ingot:8, Zinc Ingot
railcraft:ingot:9, Brass Ingot
railcraft:gear:0, Brass Gear
railcraft:gear:1, Iron Gear
railcraft:gear:2, Steel Gear
railcraft:gear:3, Gear Bushing
railcraft:gear:4, Bronze Gear
railcraft:gear:5, Invar Gear
railcraft:plate:0, Iron Plate
railcraft:plate:1, Steel Plate
railcraft:plate:2, Tin Plate
railcraft:plate:3, Copper Plate
railcraft:plate:4, Lead Plate
railcraft:plate:5, Silver Plate
railcraft:plate:6, Bronze Plate
railcraft:plate:7, Gold Plate
railcraft:plate:8, Nickel Plate
railcraft:plate:9, Invar Plate
railcraft:plate:10, Zinc Plate
railcraft:plate:11, Brass Plate
railcraft:dust:0, Obsidian Dust
railcraft:dust:1, Sulfur
railcraft:dust:2, Saltpeter
railcraft:dust:3, Charcoal Dust
railcraft:dust:4, Ground Blast Furnace Slag
railcraft:dust:5, Coal Dust
railcraft:dust:6, Ender Powder
railcraft:dust:7, Void Powder
railcraft:signal:0, Block Signal
railcraft:signal:1, Distant Signal
railcraft:signal:2, Token Signal
railcraft:signal_dual:0, Dual-Head Block Signal
railcraft:signal_dual:1, Dual-Head Distant Signal
railcraft:signal_dual:2, Dual-Head Token Signal
railcraft:signal_box:2, Signal Controller Box
railcraft:signal_box:4, Signal Receiver Box
railcraft:signal_box:0, Analog Signal Controller Box
railcraft:signal_box:1, Signal Capacitor Box
railcraft:signal_box:3, Signal Interlock Box
railcraft:signal_box:6, Signal Sequencer Box
railcraft:signal_box:5, Signal Block Relay Box
railcraft:tool_signal_surveyor:0, Signal Surveyor
railcraft:tool_signal_tuner:0, Signal Tuner
railcraft:signal_lamp, Signal Lamp
railcraft:tool_signal_label, Signal Label
railcraft:circuit:0, Controller Circuit
railcraft:circuit:1, Receiver Circuit
railcraft:circuit:2, Signal Circuit
railcraft:circuit:3, Radio Circuit
railcraft:admin_steam_producer:0, Admin Steam Producer
railcraft:boiler_firebox_fluid:0, Fluid Fueled Boiler Firebox
railcraft:boiler_firebox_solid:0, Solid Fueled Boiler Firebox
railcraft:boiler_tank_pressure_high:0, High Pressure Boiler Tank
railcraft:boiler_tank_pressure_low:0, Low Pressure Boiler Tank
railcraft:track_kit:1, Activator Track Kit
railcraft:track_kit:2, Booster Track Kit
railcraft:track_kit:3, Buffer Stop Track Kit
railcraft:track_kit:4, Control Track Kit
railcraft:track_kit:5, Detector Track Kit
railcraft:track_kit:6, Disembarking Track Kit
railcraft:track_kit:7, Dumping Track Kit
railcraft:track_kit:8, Embarking Track Kit
railcraft:track_kit:9, Gated Track Kit
railcraft:track_kit:10, Locking Track Kit
railcraft:track_kit:11, One-Way Track Kit
railcraft:track_kit:15, Messenger Track Kit
railcraft:track_kit:16, Delayed Locking Track Kit
railcraft:track_kit:17, Priming Track Kit
railcraft:track_kit:18, Launcher Track Kit
railcraft:track_kit:19, Routing Track Kit
railcraft:track_kit:20, Transition Track Kit
railcraft:track_kit:21, Coupler Track Kit
railcraft:tool_spike_maul_iron, Iron Spike Maul
railcraft:tool_spike_maul_steel, Steel Spike Maul
railcraft:railbed:0, Wooden Railbed
railcraft:railbed:1, Stone Railbed
railcraft:track_parts, Track Parts
railcraft:actuator:0, Switch Actuator Lever
railcraft:actuator:1, Switch Actuator Motor
railcraft:actuator:2, Routing Switch Actuator Motor
railcraft:cart_tnt_wood:0, Wooden TNT Cart
railcraft:track_elevator, Elevator Track
railcraft:logbook, Logbook
railcraft:routing_table, Routing Table
railcraft:routing_ticket, Railway Ticket
railcraft:routing_ticket_gold, Golden Railway Ticket
railcraft:track_flex_high_speed, High Speed Track
railcraft:track_flex_reinforced, Reinforced Track
railcraft:track_flex_strap_iron, Strap Iron Track
railcraft:cart_cargo:0, Cargo Cart
railcraft:cart_tank:0, Tank Cart
railcraft:chest_void:0, Void Chest
railcraft:cart_chest_void:0, Void Chest Cart
railcraft:generic:6, Block of Coal Coke
railcraft:generic:7, Crushed Obsidian
railcraft:generic:8, Abyssal Stone
railcraft:generic:9, Quarried Stone
railcraft:ore:0, Sulfur Ore
railcraft:ore:1, Saltpeter Ore
railcraft:ore:2, Dark Diamond Ore
railcraft:ore:3, Dark Emerald Ore
railcraft:ore:4, Dark Lapis Lazuli Ore
railcraft:ore_metal:0, Copper Ore
railcraft:ore_metal:1, Tin Ore
railcraft:ore_metal:2, Lead Ore
railcraft:ore_metal:3, Silver Ore
railcraft:ore_metal:4, Nickel Ore
railcraft:ore_metal:5, Zinc Ore
railcraft:ore_metal_poor:0, Poor Iron Ore
railcraft:ore_metal_poor:1, Poor Gold Ore
railcraft:ore_metal_poor:2, Poor Copper Ore
railcraft:ore_metal_poor:3, Poor Tin Ore
railcraft:ore_metal_poor:4, Poor Lead Ore
railcraft:ore_metal_poor:5, Poor Silver Ore
railcraft:ore_metal_poor:6, Poor Nickel Ore
railcraft:ore_metal_poor:7, Poor Zinc Ore
railcraft:ore_magic:0, Firestone Ore
railcraft:worldlogic, Saltpeter Ore Spawner
improvedbackpacks:backpack, Backpack
improvedbackpacks:bound_leather, Bound Leather
improvedbackpacks:tanned_leather, Tanned Leather
improvedbackpacks:blank_upgrade, Blank Upgrade
improvedbackpacks:upgrade:0, Storage Upgrade (Wood)
improvedbackpacks:upgrade:1, Storage Upgrade (Stone)
improvedbackpacks:upgrade:2, Storage Upgrade (Iron)
improvedbackpacks:upgrade:3, Storage Upgrade (Gold)
improvedbackpacks:upgrade:4, Storage Upgrade (Diamond)
improvedbackpacks:ender_backpack, Ender Backpack
nuclearcraft:ore:0, Copper Ore
nuclearcraft:ore:1, Tin Ore
nuclearcraft:ore:2, Lead Ore
nuclearcraft:ore:3, Thorium Ore
nuclearcraft:ore:4, Uranium Ore
nuclearcraft:ore:5, Boron Ore
nuclearcraft:ore:6, Lithium Ore
nuclearcraft:ore:7, Magnesium Ore
nuclearcraft:ingot_block:0, Copper Block
nuclearcraft:ingot_block:1, Tin Block
nuclearcraft:ingot_block:2, Lead Block
nuclearcraft:ingot_block:3, Thorium Block
nuclearcraft:ingot_block:4, Uranium Block
nuclearcraft:ingot_block:5, Boron Block
nuclearcraft:ingot_block:6, Lithium Block
nuclearcraft:ingot_block:7, Magnesium Block
nuclearcraft:ingot_block:8, Graphite Block
nuclearcraft:ingot_block:9, Beryllium Block
nuclearcraft:ingot_block:10, Zirconium Block
nuclearcraft:ingot_block:11, Manganese Block
nuclearcraft:ingot_block:12, Aluminum Block
nuclearcraft:ingot_block:13, Silver Block
nuclearcraft:fission_block:0, Fission Reactor Casing
nuclearcraft:fission_block:1, Blast Block
nuclearcraft:reactor_casing_transparent, Transparent Fission Reactor Casing
nuclearcraft:cell_block, Reactor Cell
nuclearcraft:cooler:0, Empty Cooler
nuclearcraft:cooler:1, Water Cooler
nuclearcraft:cooler:2, Redstone Cooler
nuclearcraft:cooler:3, Quartz Cooler
nuclearcraft:cooler:4, Gold Cooler
nuclearcraft:cooler:5, Glowstone Cooler
nuclearcraft:cooler:6, Lapis Cooler
nuclearcraft:cooler:7, Diamond Cooler
nuclearcraft:cooler:8, Liquid Helium Cooler
nuclearcraft:cooler:9, Enderium Cooler
nuclearcraft:cooler:10, Cryotheum Cooler
nuclearcraft:cooler:11, Iron Cooler
nuclearcraft:cooler:12, Emerald Cooler
nuclearcraft:cooler:13, Copper Cooler
nuclearcraft:cooler:14, Tin Cooler
nuclearcraft:cooler:15, Magnesium Cooler
nuclearcraft:reactor_door, Reactor Door
nuclearcraft:reactor_trapdoor, Reactor Trapdoor
nuclearcraft:block_depleted_thorium, Thorium-230 Block
nuclearcraft:block_depleted_uranium, Uranium-238 Block
nuclearcraft:block_depleted_neptunium, Neptunium-237 Block
nuclearcraft:block_depleted_plutonium, Plutonium-242 Block
nuclearcraft:block_depleted_americium, Americium-243 Block
nuclearcraft:block_depleted_curium, Curium-246 Block
nuclearcraft:block_depleted_berkelium, Berkelium-247 Block
nuclearcraft:block_depleted_californium, Californium-252 Block
nuclearcraft:block_ice, Supercold Ice
nuclearcraft:nuclear_furnace_idle, Nuclear Furnace
nuclearcraft:nuclear_furnace_active, Nuclear Furnace
nuclearcraft:manufactory_idle, Manufactory
nuclearcraft:manufactory_active, Manufactory
nuclearcraft:isotope_separator_idle, Isotope Separator
nuclearcraft:isotope_separator_active, Isotope Separator
nuclearcraft:decay_hastener_idle, Decay Hastener
nuclearcraft:decay_hastener_active, Decay Hastener
nuclearcraft:fuel_reprocessor_idle, Fuel Reprocessor
nuclearcraft:fuel_reprocessor_active, Fuel Reprocessor
nuclearcraft:alloy_furnace_idle, Alloy Furnace
nuclearcraft:alloy_furnace_active, Alloy Furnace
nuclearcraft:infuser_idle, Fluid Infuser
nuclearcraft:infuser_active, Fluid Infuser
nuclearcraft:melter_idle, Melter
nuclearcraft:melter_active, Melter
nuclearcraft:supercooler_idle, Supercooler
nuclearcraft:supercooler_active, Supercooler
nuclearcraft:electrolyser_idle, Electrolyzer
nuclearcraft:electrolyser_active, Electrolyzer
nuclearcraft:irradiator_idle, Neutron Irradiator
nuclearcraft:irradiator_active, Neutron Irradiator
nuclearcraft:ingot_former_idle, Ingot Former
nuclearcraft:ingot_former_active, Ingot Former
nuclearcraft:pressurizer_idle, Pressurizer
nuclearcraft:pressurizer_active, Pressurizer
nuclearcraft:chemical_reactor_idle, Chemical Reactor
nuclearcraft:chemical_reactor_active, Chemical Reactor
nuclearcraft:salt_mixer_idle, Salt Mixer
nuclearcraft:salt_mixer_active, Salt Mixer
nuclearcraft:crystallizer_idle, Crystallizer
nuclearcraft:crystallizer_active, Crystallizer
nuclearcraft:dissolver_idle, Fluid Enricher
nuclearcraft:dissolver_active, Fluid Enricher
nuclearcraft:extractor_idle, Fluid Extractor
nuclearcraft:extractor_active, Fluid Extractor
nuclearcraft:centrifuge_idle, Centrifuge
nuclearcraft:centrifuge_active, Centrifuge
nuclearcraft:rock_crusher_idle, Rock Crusher
nuclearcraft:rock_crusher_active, Rock Crusher
nuclearcraft:machine_interface, Machine Interface
nuclearcraft:fission_controller_idle, Fission Controller (Old)
nuclearcraft:fission_controller_active, Fission Controller
nuclearcraft:fission_controller_new_idle, Fission Controller
nuclearcraft:fission_controller_new_active, Fission Controller
nuclearcraft:fission_controller_new_fixed, Fission Controller
nuclearcraft:fission_port, Fission Reactor Port
nuclearcraft:fusion_core, Fusion Core
nuclearcraft:fusion_dummy_side, Fusion Core
nuclearcraft:fusion_dummy_top, Fusion Core
nuclearcraft:fusion_connector, Fusion Connector
nuclearcraft:rtg_uranium, Uranium RTG
nuclearcraft:rtg_plutonium, Plutonium RTG
nuclearcraft:rtg_americium, Americium RTG
nuclearcraft:rtg_californium, Californium RTG
nuclearcraft:solar_panel_basic, Basic Solar Panel
nuclearcraft:solar_panel_advanced, Advanced Solar Panel
nuclearcraft:solar_panel_du, DU Solar Panel
nuclearcraft:solar_panel_elite, Elite Solar Panel
nuclearcraft:decay_generator, Decay Generator
nuclearcraft:voltaic_pile_basic, Basic Voltaic Pile
nuclearcraft:voltaic_pile_advanced, Advanced Voltaic Pile
nuclearcraft:voltaic_pile_du, DU Voltaic Pile
nuclearcraft:voltaic_pile_elite, Elite Voltaic Pile
nuclearcraft:lithium_ion_battery_basic, Basic Lithium Ion Battery
nuclearcraft:lithium_ion_battery_advanced, Advanced Lithium Ion Battery
